title,url
"Gaza truce extended by two days, Qatar says",/news/live/world-middle-east-67539313
How Hamas built a force to attack Israel on 7 October,/news/world-middle-east-67480680
Shock as New Zealand axes world-first smoking ban,/news/world-asia-67540190
The tunnels made by giant sloths,https://www.bbc.com/travel/article/20231127-brazils-mysterious-tunnels-made-by-giant-sloths
A guide to giving gifts sustainably,https://www.bbc.com/culture/article/20231127-festive-fabulous-and-sustainable-a-holiday-gift-guide
UAE planned to use climate talks to make oil deals,/news/science-environment-67508331
Suspect pleads not guilty after Vermont shooting,/news/world-us-canada-67539809
Six French teenagers on trial over teacher's murder,/news/world-europe-67543278
Premier League: Build-up to Fulham v Wolves,/sport/live/football/67347651
'Messi mania one of biggest revolutions in US sport',/sport/football/67543580
'Best goal I've seen live' - Garnacho scores 'goal of season',/sport/football/67537561
The world's most powerful lasers,https://www.bbc.com/future/article/20231123-the-worlds-most-powerful-lasers
"Doctor Who is 'epic, action-packed fun'",https://www.bbc.com/culture/article/20231124-doctor-who-the-star-beast-spoiler-filled-review-this-epic-action-packed-episode-finds-the-show-on-top-form-again
Why Swedes don’t like chit-chat,https://www.bbc.com/travel/article/20201203-why-swedes-dont-speak-to-strangers
How EcoVadis holds firms accountable,https://www.bbc.com/worklife/article/20231126-how-ecovadis-is-holding-global-corporations-accountable
"Thai groom kills four at wedding, including bride",https://www.bbc.com/news/world-asia-67540210
What's Merriam-Webster's new word of the year?,https://www.bbc.com/news/world-us-canada-67543895
Time to understand homosexuality - Ghana cardinal,https://www.bbc.com/news/world-africa-67518215
The Global Story: Israel-Gaza conflict,https://www.bbc.com/sounds/play/p0gw2n4f
Find the right BBC email newsletter for you,https://www.bbc.com/news/world-us-canada-66715271?&at_bbc_team=studios&at_medium=native&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.com&at_format=Module&at_link_origin=bbchomepage&at_campaign=nleditorial&at_campaign_id=&at_adset_name=&at_adset_id=&at_creation=&at_creative_id=&at_campaign_type=owned
Watch: Gaza families live in tents with no winter clothing,/news/world-middle-east-67548831
Watch: Gaza families live in tents with no...,/news/world-middle-east-67548831
Watch: Huge waves hit Russian coast in Winter...,/news/world-europe-67547361
Watch: Nine-year-old hostage reunited with...,/news/world-middle-east-67534947
Watch: Boy's tearful thanks after leukaemia...,/news/uk-67543080
Watch: Cars torched and shops looted in...,/news/world-europe-67517106
Elgin Marbles in UK 'like cutting Mona Lisa...,/news/world-europe-67535925
Police bodycam captures traffic stop marriage...,/news/world-us-canada-67517667
Catherine Tate: Doctor Who is best job I've...,/news/entertainment-arts-67536167
One-minute World News,/news/10462520
Watch: Moment Israel Gaza fighting pause...,/news/world-middle-east-67517901
Children making AI-generated child abuse images,/news/technology-67521226
Britain's Got Talent maker settles Walliams case,/news/entertainment-arts-67549655
Kenyans seek unsafe abortions amid legal ambiguity,/news/world-africa-67473183
Overseas firms pledge to invest billions in UK,/news/business-67538837
Your chocolate bar - my family's struggle,/news/science-environment-67511964
Your pictures on the theme of 'tiny creatures',/news/in-pictures-67495402
America Ferrera: We are still just fighting to be visible,/news/entertainment-arts-67533054
The job sharing apps that feel like online dating,https://www.bbc.com/news/business-67413201
Could airports make hydrogen work as a fuel?,https://www.bbc.co.uk/news/business-67371275
Fighting climate change with 100ft ice towers,/news/world-asia-india-67469222
In pictures: Waxwing irruption flies into Scotland,/news/uk-scotland-67415207
Capturing hidden Wales,/newyddion/67453980
Africa's top shots: Pirates and paper doves,/news/world-africa-67440655
"Royals, rallies and regattas: Africa's top shots",/news/world-africa-67342719
